File,Type,Content
C:/Users/chris/Desktop/note_summarizer\main.py,IMPORT,"from analyzers import PythonProjectAnalyzer, BaseAnalyzer, HTMLAnalyzer"
C:/Users/chris/Desktop/note_summarizer\main.py,IMPORT,"import os, re"
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,def main():
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,def get_directory():
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,''' ask user for filepath '''
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,def gather_files(directory):
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,'''Gather all .py files in directory'''
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,# Skip .git directories entirely and enve
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,# Check if the file's extension is in the allowed list
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,#add to list for file types
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,#Uses BaseAnalyzer to get file types and decied what analizer to run
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,"def start_analyzer(all_file_paths, file_type_list):"
C:/Users/chris/Desktop/note_summarizer\main.py,COMMENT,#functions to call the analyzers
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,def call_python_analyzer(all_file_paths):
C:/Users/chris/Desktop/note_summarizer\main.py,FUNCTION,def call_html_analyzer(all_file_paths):
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,IMPORT,import nltk
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,IMPORT,from nltk.tokenize import word_tokenize
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,IMPORT,from nltk.corpus import stopwords
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,IMPORT,from nltk.stem import WordNetLemmatizer
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,IMPORT,from nltk.probability import FreqDist
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,COMMENT,#Create object lemmatizer
C:/Users/chris/Desktop/note_summarizer\tokenizer.py,COMMENT,# Example: Frequency-based summarization
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,IMPORT,"import os, re"
