File,Type,Content
C:/Users/chris/Desktop/note_summarizer\main.py,import,"from analyzers import PythonProjectAnalyzer, HTMLAnalyzer, BaseAnalyzer"
C:/Users/chris/Desktop/note_summarizer\main.py,import,"import os, re"
C:/Users/chris/Desktop/note_summarizer\main.py,function,def main():
C:/Users/chris/Desktop/note_summarizer\main.py,function,def get_directory():
C:/Users/chris/Desktop/note_summarizer\main.py,comment,''' ask user for filepath '''
C:/Users/chris/Desktop/note_summarizer\main.py,function,def gather_files(directory):
C:/Users/chris/Desktop/note_summarizer\main.py,comment,'''Gather all .py files in directory'''
C:/Users/chris/Desktop/note_summarizer\main.py,comment,# Skip .git directories entirely and enve
C:/Users/chris/Desktop/note_summarizer\main.py,comment,# Check if the file's extension is in the allowed list
C:/Users/chris/Desktop/note_summarizer\main.py,comment,#add to list for file types
C:/Users/chris/Desktop/note_summarizer\main.py,comment,#Uses BaseAnalyzer to get file types and decied what analizer to run
C:/Users/chris/Desktop/note_summarizer\main.py,function,"def start_analyzer(all_file_paths, file_type_list):"
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,import,from reports import test
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,class,class BaseAnalyzer:
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,function,"def __init__(self, all_file_paths, file_type_list):"
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,comment,''' Initialize the analyzer with a types list and file list'''
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,function,def count_files(self):
C:/Users/chris/Desktop/note_summarizer\analyzers\base_analyzer.py,function,def reports(self):
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,import,"import re, os"
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,class,class HTMLAnalyzer:
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,function,"def __init__(self, all_file_paths):"
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,comment,#Initialize the analyzer with a file paths list
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,comment,#gather all html files append them to list
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,function,def gather_html_files(self):
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,function,def clean_file(self):
C:/Users/chris/Desktop/note_summarizer\analyzers\html_analyzer.py,comment,'''
